"filename","items[].additionalInfo.DNR","items[].additionalInfo.GW","items[].additionalInfo.LotSN","items[].additionalInfo.capacity","items[].amount","items[].description","items[].extendedPrice","items[].itemNumber","items[].item_code","items[].lineNumber","items[].priceUOM","items[].qtyShipped","items[].tax","items[].total_quantity","items[].transUOM","items[].unitPrice","items[].unit_price","items[].units_ordered","items[].units_shipped","items[].weightNetGross"
"20240216 - Ace Chemical - Earth Rider - 20240219_Chemi^ll.pdf.jpg.json",,,,,639.63,"5 GAL(S)",,,"NEUTREC 500",,,,,,,,639.63,,,
"20240216 - Ace Chemical - Earth Rider - 20240219_Chemi^ll.pdf.jpg.json",,,,,639.63,"55 GAL DR",,,"5320-01",,,,,,,,639.63,,,
"20240216 - Ace Chemical - Earth Rider - 20240219_Chemi^ll.pdf.jpg.json",,,,,103.95,"55 GAL(S)",,,"RNDSWIFT 19",,,,,,,,103.95,,,
"20240216 - Ace Chemical - Earth Rider - 20240219_Chemi^ll.pdf.jpg.json",,,,,103.95,"45# PAIL NEU-CLEAN, 40 LB(S)",,,"410-17",,,,,,,,103.95,,,
"20240216 - Ace Chemical - Earth Rider - 20240219_Chemi^ll.pdf.jpg.json",,,,,152.28,"5 GAL EXTRI STAN-O-GARD, 5 GAL(S)",,,"9400-05",,,,,,,,152.28,,,
"20240224 - Madison Chemical - Bemidji.pdf.jpg.json",,,"00010016661",,1430,"PHOSPHORIC ACID 75%/FOOD GRADE",,,"264FG-VC-55",,,,,,,,26,,55,
"20240224 - Madison Chemical - Bemidji.pdf.jpg.json",,,"23085441",,529.85,"MadBrew ACID - HD",,,"771021-PL-55",,,,,,,,9.63,,55,
"20240224 - Madison Chemical - Bemidji.pdf.jpg.json",,,"H35-101423-11",,847.8,"OXYWAVE",,,"791091-VC-54",,,,,,,,15.7,,54,
"20240224 - Madison Chemical - Bemidji.pdf.jpg.json",,,,,17,"PALLET 48"" X 44""",,,"PALLET-EA-1",,,,,,,,17,,1,
"20240224 - Madison Chemical - Bemidji.pdf.jpg.json",,,,,10.5,"PALLETIZE AND SHRINKWRAP (HALF)",,,"PALLETWRHF-E",,,,,,,,10.5,,1,
"20240312 Hawkins - Bauhaus.pdf.jpg.json",,,,,15,"Freight Charge",,,"499991",1,,,"N",,,,15,,1,
"20240312 Hawkins - Bauhaus.pdf.jpg.json",,,,,29,"Fuel Surcharge Freight",,,,1.01,,,"N",,,,29,,1,
"20240312 Hawkins - Bauhaus.pdf.jpg.json",,,"789727",,1970,"Potassium Sorbate/Sod Benzoate",,,"62782",2,,,"N",,,,8.4731,,5,
"20240312 Hawkins - Bauhaus.pdf.jpg.json",,,"3230111088",,374.25,"Ascorbic Acid - USP",,,"38781",3,,,"N",,,,14.97,,1,
"20240327 Chemco - East Brother - IN-220686-2024-0327-14535662.pdf.jpg.json",,,,,678.15,"CYCLONE",,,"CH-FL11631-55",,,,,,,,12.33,1,55,
"20240327 Chemco - East Brother - IN-220686-2024-0327-14535662.pdf.jpg.json",,,,,568.7,"STORM",,,"CH-FL11453-55V",,,,,,,,10.34,1,55,
"20240327 Chemco - East Brother - IN-220686-2024-0327-14535662.pdf.jpg.json",,,,,235.3,"CHEMCO PAA 15",,,"CH-FL99912-5",,,,,,,,23.53,2,10,
"20240327 Chemco - East Brother - IN-220686-2024-0327-14535662.pdf.jpg.json",,,,,244.95,"ENEREX 600",,,"CH-FL5549-5D",,,,,,,,16.33,3,15,
"20240327 Chemco - East Brother - IN-220686-2024-0327-14535662.pdf.jpg.json",,,,,40,"ENERGY/FUEL SURCHARGE",,,"CHG-FUELSCHG",,,,,,,,40,1,1,
"20240328 Chemco - East Brother IN-220779-2024-0328-153739197.pdf.jpg.json",,,,,124.2,"Isopropyl Alcohol 70% Tech",,,"CH-CCCIPA70-36#",,,,,36,,,3.45,1,1,
"20240428 Oxxion - Ursa Minor Brewing.pdf.jpg.json",,,,,600,"Case of ATP Swabs",,,,,,,,,,,300,2,,
"20240428 Oxxion - Ursa Minor Brewing.pdf.jpg.json",,,,,165,"5G TH of Phosphoric Acid – FG 75%",,,,,,,,,,,165,1,,
"20240428 Oxxion - Ursa Minor Brewing.pdf.jpg.json",,,,,500,"45# Pail of ALK-O2 Wash",,,,,,,,,,,250,2,,
"20240428 Oxxion - Ursa Minor Brewing.pdf.jpg.json",,,,,825,"55G Drum of ALK-85",,,,,,,,,,,825,1,,
"20240428 Oxxion - Ursa Minor Brewing.pdf.jpg.json",,,,,925,"55G Drum of Keg Wash",,,,,,,,,,,922,1,,
"20240428 Oxxion - Ursa Minor Brewing.pdf.jpg.json",,,,,3500,"OxyMur OM-0025-MC: 25-Liter (30-A&Bs)",,,,,,,,,,,3500,1,,
"20240523 Clean Edge - Helltown - Invoice_INV_2024_03572-chemicals.pdf.jpg.json",,,,,770,"[5269] CleanEDGE 5269",,,,,,,,,,,7,110,,
"20240523 Clean Edge - Helltown - Invoice_INV_2024_03572-chemicals.pdf.jpg.json",,,,,12,"Fuel Surcharge",,,,,,,,,,,12,1,,
"20240116 CMG - East Brother Malt.pdf.jpg.json",,,,,86,"Briess Malting Bonlander Munich Malt - Size: 50LB/22.7K Year",,,"BM-BMUN",,,,,,,,43,,2,
"20240116(2) CMG - East Brother Malt.pdf.jpg.json",,,,,138.6,"Great Western Malting Pale High Color Malt",,,"GW-PAHC",,,,,,,,34.65,,4,
"20240116(2) CMG - East Brother Malt.pdf.jpg.json",,,,,72,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36,,2,
"20240116(2) CMG - East Brother Malt.pdf.jpg.json",,,,,105,"Briess Malting Victory Malt",,,"BM-VICT",,,,,,,,52.5,,2,
"20240116(2) CMG - East Brother Malt.pdf.jpg.json",,,,,61,"Briess Malting Midnight Wheat Malt",,,"BM-MWHT",,,,,,,,61,,1,
"20240116(2) CMG - East Brother Malt.pdf.jpg.json",,,,,50.5,"Briess Malting 2-Row Caramel Malt 60",,,"BM-C60M",,,,,,,,50.5,,1,
"20240116(2) CMG - East Brother Malt.pdf.jpg.json",,,,,51.15,"TF&S Chocolate Malt",,,"TF-CHOC",,,,,,,,51.15,,1,
"20240125 CMG - East Brother Malt.pdf.jpg.json",,,,,,"Great Western Malting Superior Pilsen Malt",,,,,,,,,,,35.2,,,
"20240401 Country Malt Group - Helltown.pdf.jpg.json",,,,,17201.77,"CM-2ROWBK Blended",,,,,,,,21591,"kg",,796.71,,,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,570.35,"Great Western Malting Pale High Color Malt",,,"GW-PAHC",,,,,,,,33.55,,17,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,280,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,35,,8,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,47.3,"Great Western Malting Crystal 60 Malt",,,"GW-C60M",,,,,,,,47.3,,1,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,117,"Briess Malting Midnight Wheat Malt",,,"BM-MWHT",,,,,,,,58.5,,2,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,103,"Briess Malting Victory Malt",,,"BM-VICT",,,,,,,,51.5,,2,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,422.4,"Great Western Malting Superior Pilsen Malt",,,"GW-PILS",,,,,,,,35.2,,12,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,45.1,"Great Western Malting Brumalt",,,"GW-BRUM",,,,,,,,45.1,,1,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,32.5,"Canada Malting Superior Flaked Wheat",,,"CM-FWHT",,,,,,,,32.5,,1,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,429,"Canada Malting Superior Pilsen Malt",,,"CM-SPIL",,,,,,,,35.75,,12,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,,,,0,"Pickup",,,"PICKUP",,,,,,,,0,,1,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,58,"Celite Standard SuperCel Z",,,"AD-CSDZ",,,,,,,,1,,5,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,31,"Calcium Sulfate (Terra Alba Gypsum)",,,"AD-CSUL",,,,,,,,1,,1,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,35.2,"Great Western Malting Superior Pilsen Malt",,,"GW-PILS",,,,,,,,1,,120,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,33.55,"Great Western Malting Pale High Color Malt",,,"GW-PAHC",,,,,,,,1,,20,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,50.05,"TF&S Chocolate Malt",,,"TF-CHOC",,,,,,,,1,,3,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,35,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,1,,5,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,47.3,"Great Western Malting Crystal 60 Malt",,,"GW-C60M",,,,,,,,1,,1,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,51.5,"Briess Malting Victory Malt",,,"BM-VICT",,,,,,,,1,,2,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,40.15,"Great Western Malting Dextra Pils Malt",,,"GW-DEXT",,,,,,,,1,,6,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,340,"Freight",,,"FREIGHTSERVICE",,,,,,,,1,,1,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,129.2,"Fuel surcharge",,,"FUELSURCHARGEBILL",,,,,,,,1,,1,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,,36,"Skid - Pallet - Platform",,,"SKID",,,,,,,,1,,1,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,,,,184.8,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,,,46.2,,4,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,,,,109.5,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,,3,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,,,,74.8,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,,,37.4,,2,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,,,,136.95,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,,3,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,,,,610.5,"Canada Malting Euro Style Pilsen",,,"CM-EURO",,,,,,,,40.7,,15,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,,,,234.64,"Five Star Chemicals - Lactic Acid",,,"FS-LACA",,,,,,,,234.64,,1,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,,,,471.9,"Canada Malting Premium Two Row Brewers Malt",,,"CM-2ROW",,,,,,,,36.3,,13,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,214.5,"Great Western Malting Vienna Malt","214.5",,"GW-VIEN",1,"EA",5,,,"55LB/25KG","42.9",42.9,,5,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,109.5,"Canada Malting Premier Flaked Brewers Oats","109.5",,"CM-FBOT",2,"EA",3,,,"50LB/22.7K","36.5",36.5,,3,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,277.2,"Canada Malting Oat Malt","277.2",,"CM-OATM",3,"EA",6,,,"55LB/25KG","46.2",46.2,,6,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,224.4,"Canada Malting White Wheat Malt","224.4",,"CM-WWHT",4,"EA",6,,,"55LB/25KG","37.4",37.4,,6,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,363,"Canada Malting Premium Two Row Brewers Malt","363",,"CM-2ROW",5,"EA",10,,,"55LB/25KG","36.3",36.3,,10,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,439.84,"TT90 Hop Pellets - Citra","439.84",,"YC-CIT",6,"EA",5,,,"4x5KG Year: 2022","55.56",55.56,,5,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,574.2,"TT90 Hop Pellets - Simcoe","574.2",,"YC-SIM",7,"EA",4,,,"1x5KG Year: 2022","65",65,,4,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,,,,418.15,"TT90 Hop Pellets - Mosaic","418.15",,"YC-MOS",8,"EA",4,,,"1x5KG Year: 2022","25.95",25.95,,4,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,,,,1089,"Canada Malting Premium Two Row Brewers Malt",,,"CM-2ROW",,,,,,,,36.3,,30,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,,,,171.6,"Great Western Malting Vienna Malt",,,"GW-VIEN",,,,,,,,42.9,,4,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,,,,224.4,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,,,37.4,,6,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,,,,273.9,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,,6,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,,,,277.2,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,,,46.2,,6,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,,,,219,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,,6,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,,,,312,"Corn Sugar - Dextrose",,,"SU-DEXT",,,,,,,,52,,6,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,508.2,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,,,46.2,,11,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,149.6,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,,,37.4,,4,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,255.5,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,,7,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,410.85,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,,9,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,327.8,"Bestmalz Spelt Malt",,,"BZ-SPLT",,,,,,,,81.95,,4,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,267.3,"Bestmalz Heidelberg Malt",,,"BZ-HDBR",,,,,,,,44.55,,6,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,574.2,"T90 Hop Pellets - Simcoe",,,"YC-SIMTT",,,,,,,,165,,4,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,712.8,"Bestmalz Heidelberg Malt Size: 55LB/25KG Year:",,,"BZ-HDBR",,,,,,,,44.55,,16,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,92.4,"Canada Malting Oat Malt Size: 55LB/25KG Year:",,,"CM-OATM",,,,,,,,46.2,,2,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,299.2,"Canada Malting Red Wheat Malt Size: 55LB/25KG Year:",,,"CM-RWHT",,,,,,,,37.4,,8,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,208,"Corn Sugar - Dextrose Size: 50LB/22.7K Year:",,,"SU-DEXT",,,,,,,,52,,4,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,418.15,"T90 Hop Pellets - Mosaic Size: 1x5KG Year: 2022",,,"YC-MOST",,,,,,,,125.95,,4,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,61.5,"Fermentis SafAle S-04 Size: 500GRAM Year:",,,"FM-S04Y",,,,,,,,61.5,,1,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,217.5,"Lallemand Sourvisiae Yeast Size: 500GRAM Year:",,,"LB-SVIS",,,,,,,,17.5,,12,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,,,,420,"Fermentis SafLager W-34/70 Size: 500GRAM Year:",,,"FM-3470",,,,,,,,105,,4,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,738.72,"Oregon Fruit Puree - Blueberry",,,"OF-BLUB",,,,,,,,123.12,6,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,209.91,"Oregon Fruit Puree - Black Currant",,,"OF-BLCT",,,,,,,,209.91,1,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,93.15,"Mane Blueberry Fruit Flavor - Natural",,,"FL-BLUB",,,,,,,,93.15,1,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,154,"Great Western Malting Pale High Color Malt",,,"GW-PAHC",,,,,,,,38.5,4,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,146,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,4,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,277.2,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,,,46.2,6,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,149.6,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,,,37.4,4,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,273.9,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,6,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,574.2,"T90 Hop Pellets - Simcoe",,,"YC-SIMTT",,,,,,,,165,4,,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,,,,439.84,"T90 Hop Pellets - Citra",,,"YC-CITTT",,,,,,,,126.39,4,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,442.2,"Canada Malting Superior Pilsen Malt",,,"CM-SPIL",,,,,12,,,36.85,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,257.4,"Great Western Malting Vienna Malt",,,"GW-VIEN",,,,,6,,,42.9,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,112.2,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,3,,,37.4,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,156,"Corn Sugar - Dextrose",,,"SU-DEXT",,,,,3,,,52,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,381,"Fermentis SafAle US-05 Yeast",,,"FM-US05",,,,,6,,,63.5,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,653.4,"Cryo Hop Pellets - Mosaic",,,"YC-MOSC",,,,,2,,,326.7,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,198,"T90 Hop Pellets - Idaho 7",,,"YC-IDAT",,,,,2,,,99,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,176,"T90 Hop Pellets - El Dorado",,,"YC-ELDT",,,,,4,,,44,,,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,,,,484,"T90 Hop Pellets - Chinook",,,"YC-CHIT",,,,,4,,,121,,,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,462,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,,,46.2,,10,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,219,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,,6,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,224.4,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,,,37.4,,6,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,456.5,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,,10,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,208,"Corn Sugar - Dextrose",,,"SU-DEXT",,,,,,,,52,,4,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,180,"Briess Malting CBW Pilsen Light LME",,,"BM-PLLM",,,,,,,,90,,2,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,1072.5,"T90 Hop Pellets - Citra",,,"YC-CITT",,,,,,,,178.75,,6,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,413.16,"T90 Hop Pellets - Mosaic",,,"YC-MOS",,,,,,,,13.16,,14,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,522.72,"T90 Hop Pellets - Simcoe",,,"YC-SIM",,,,,,,,130.68,,4,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,146,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,"EA",,36.5,,4,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,589.6,"Canada Malting Superior Pilsen Malt",,,"CM-SPIL",,,,,,"EA",,36.85,,16,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,74.8,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,"EA",,37.4,,2,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,97.9,"TF&S Pale Crystal Malt",,,"TF-PCRY",,,,,,"EA",,48.95,,2,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,180.4,"Bestmalz Dark Munich Malt",,,"BZ-DMUN",,,,,,"EA",,45.1,,4,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,103.4,"Great Western Malting Crystal 40 Malt",,,"GW-C40M",,,,,,"EA",,51.7,,2,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,246,"Fermentis SafAle S-04",,,"FM-S04",,,,,,"EA",,41.5,,6,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,420,"Fermentis SafLager W-34/70",,,"FM-3470",,,,,,"EA",,105,,4,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,131,"Briess Malting Brewers Brown Rice Flakes",,,"BM-FBLR",,,,,,"EA",,65.5,,2,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,277.2,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,"EA",,46.2,,6,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,,,,91.3,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,"EA",,45.65,,2,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"Canada Malting Euro Style Pilsen",,,"CM-EURO",,,,,,,,40.7,,14,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"Bestmalz Chit Malt",,,"BZ-CHIT",,,,,,,,45.65,,1,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,,,46.2,,4,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,,4,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,,6,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"Corn Sugar - Dextrose",,,"SU-DEXT",,,,,,,,52,,6,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"T90 Hop Pellets - Citra",,,"YC-CITT",,,,,,,,407,,1,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,"Fermentis SafLager W-34/70",,,"FM-3470",,,,,,,,105,,2,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,,,,491.7,"Bestmalz Spelt Malt",,,"BZ-SPLT",,,,,,,,81.95,,6,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,,,,182.6,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,,4,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,,,,328.5,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,,9,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,,,,138.6,"Canada Malting Oat Malt",,,"CM-OATM",,,,,,,,46.2,,3,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,,,,149.6,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,,,37.4,,4,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,,,,156,"Corn Sugar - Dextrose",,,"SU-DEXT",,,,,,,,52,,3,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,,,,399.3,"Canada Malting Premium Two Row Brewers Malt",,,"CM-2ROW",,,,,,,,36.3,,11,
"20240719 CMG invoice USINV000200266 - Hobbs.pdf.jpg.json",,,,,301.18,"Cryo Hop Pellets - Citra, Size: 1x5KG Year: 2022",,,"YC-CITC",,,,,,,,301.18,,1,
"20240729 CMG invoice USINV000201864 - Hobbs.pdf.jpg.json",,,,,569.8,"Canada Malting Euro Style Pilsen - Size: 55LB/25KG",,,"CM-EURO",,,,,,,,40.7,,14,
"20240729 CMG invoice USINV000201864 - Hobbs.pdf.jpg.json",,,,,943.8,"Canada Malting Premium Two Row Brewers Malt - Size: 55LB/25KG",,,"CM-2ROW",,,,,,,,36.3,,26,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,,,,221.1,"Canada Malting Superior Pilsen Malt",,,"CM-SPIL",,,,,,,,36.85,,6,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,,,,182.6,"Bestmalz Caramel Pils Malt",,,"BZ-CRPL",,,,,,,,45.65,,4,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,,,,109.5,"Canada Malting Premier Flaked Brewers Oats",,,"CM-FBOT",,,,,,,,36.5,,3,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,,,,99,"TF&S Pale Chocolate Malt",,,"TF-PCHO",,,,,,,,49.5,,2,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,,,,124,"Briess Malting Midnight Wheat Malt",,,"BM-MWHT",,,,,,,,62,,2,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,,,,108.9,"Great Western Malting Biscuit Rye Malt",,,"GW-BRYE",,,,,,,,54.45,,2,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,,,,74.8,"Canada Malting White Wheat Malt",,,"CM-WWHT",,,,,,,,37.4,,2,
