"filename","additional_notes","bill_to.address","bill_to.city","bill_to.name","bill_to.state","bill_to.zip","company.address","company.name","company.phone","contact.email","customer_po","customer_service_email","date","date_shipped","due_date","freight_terms","invoice.branchPlant","invoice.invoiceDate","invoice.invoiceNumber","invoice.salesOrderNumberType","invoice.shipmentNumber","invoice.totalInvoice","invoice_number","order_date","page","paymentTerms.netDueDate","paymentTerms.terms","pro_number","remit_to.address","remit_to.city","remit_to.fax","remit_to.name","remit_to.phone","remit_to.state","remit_to.zip","sales_agent","shipTo.address","shipTo.customerNumber","shipTo.name","ship_to.address","ship_to.city","ship_to.name","ship_to.state","ship_to.zip","shipped_via","shipping.FOBDescription","shipping.POReleaseSalesAgentNumber","shipping.customerPONumber","shipping.shipVia","shipping_info.bill_of_lading","shipping_info.freight_terms","shipping_info.pro_number","shipping_info.shipped_via","soldTo.address","soldTo.customerNumber","soldTo.name","taxInfo.salesTax","taxInfo.taxRate","terms","totals.merchandise_total","totals.sales_tax","totals.taxable_sales","totals.total_due","website"
"20230921 - ZH - Workhorse.pdf.jpg.json","Customer must arrange to have pallets returned in usable condition or Zuckerman Honickman will invoice for the full value...","250 King Manor Drive","King Of Prussia","Workhorse Brewing Company, LLC","PA","19406",,,,,,,"9/21/2023","9/19/2023","10/21/2023",,,,,,,,"IN0185469",,"1",,,,,,,,,,,"MRJTAH",,,,"250 King Manor Drive","King Of Prussia","Workhorse Brewing Company, LLC","PA","19406",,,,,,,,,,,,,,,"Net 30 Days",11002.37,,,,
"20230929 Wildpack - East Brother Brites (less 10%) INV-30511349.pdf.jpg.json",,"1001 Canal Blvd #C-2",,"East Brother Beer Company",,,,,,,,,"09/29/2023",,"10/14/2023",,,,,,,,"INV-30511349",,,,"15 Days from invoice date",,"Suite FF 3917 E. Lone Mountain Road, North Las Vegas, Nevada, 89081, USA",,,"Wildpack Holdings U.S. Inc. DBA Wildpack Beverage",,,,,,,,"1001 Canal Blvd, #C-2","Richmond","East Brother Beer Company, East Brother - Deliveries","CA","94804",,,,,,,,,,,,,,,,1244.33,,,,
"20231128 Wildpack - East Brother Brites Invoice_INV-30512699.pdf.jpg.json",,"{""street"":""1001 Canal Blvd #C-2"",""city"":""Richmond"",""state"":""CA"",""postal_code"":""94804"",""country"":""United States""}",,"East Brother Beer Company",,,,"Wildpack Holdings US Inc.",,,"PO 1773",,"11/28/2023",,"12/13/2023",,,,,,,,"INV-30512699","11/28/2023",,,,,,,,,,,,,,,,"{""street"":""1001 Canal Blvd, #C-2"",""city"":""Richmond"",""state"":""CA"",""postal_code"":""94804"",""country"":""United States""}",,"East Brother Beer Company, East Brother - Deliveries",,,,,,,,,,,,,,,,,"15 Days from invoice date",2119.27,,,2119.27,
"20240326 Berlin - Helltown.PDF.jpg.json",,,,,,,,,,,"3-26-24 EMAIL",,"03/26/2024",,,"FOB Origin, Freight PPD & Add",,,,,,,"0410058671","03/26/2024",,,,,,,,,,,,"James Sauer","5578 Old William Penn Hwy, Export PA 15632",334811,"Helltown Brewing",,,,,,,,,,,,,,"TO BE DETERMINED","5578 Old William Penn Hwy, Export PA 15632",334811,"Helltown Brewing",,,"Cash In Advance",6427.6,0,,6427.6,
"20240531 Berlin - Helltown OMS1000_70046679-202lids.PDF.jpg.json",,"5578 Old William Penn Hwy, Export PA 15632","Export","Helltown Brewing","PA","15632",,,,,"5-31-24 EMAIL",,"05/31/2024",,,,,,,,,,"0410059257",,,,"Cash In Advance",,,,,,,,,"James Sauer",,,,"5578 Old William Penn Hwy, Export PA 15632","Export","Helltown Brewing","PA","15632",,,,,,,"FOB Origin, Freight PPD & Add",,"TO BE DETERMINED",,,,,,,812,0,,812,
"20231213 Chemco - East Brother Chemicals.pdf.jpg.json",,"1001 Canal Blvd, Richmond, CA 94804",,"East Brother Beer Co.",,,,,,,"35063121","myorders@chemcoprod.com","12/14/2023",,"1/13/2024",,,,,,,,"216392","12/13/2023",,,,,"6401 Alondra Blvd, Paramount, CA 90723-3758",,"(562) 602-2811","Chemco Products Company","(562) 602-2116",,,"CHG-FUELSCHG",,,,"1001 Canal Blvd, Richmond, CA 94804",,"East Brother Beer Co.",,,,,,,,"248207","Delivered","CN-41LP","OAK HARBOR",,,,,,"Net 30",835.8,81.49,835.8,917.29,"www.chemcoprod.com"
"20240108 Chemco - East Brother - Chemicals.pdf.jpg.json",,"1001 Canal Blvd, Richmond, CA 94804",,"East Brother Beer Co.",,,,,,"myorders@chemcoprod.com","",,"1/12/2024","1/8/2024","2/11/2024","Collect",,,,,,,"217496","11/29/2023","1 of 1",,,,"6401 Alondra Blvd, Paramount, CA 90723-3758",,"(562) 602-2811","Chemco Products Company","(562) 602-2116",,,"CN-41LP",,,,"1001 Canal Blvd, Richmond, CA 94804",,"East Brother Beer Co.",,,"Will Call",,,,,"247644",,"",,,27203,,,,"Net 30",124.2,12.1,124.2,136.3,
"20240119 Hawkins - Bauhaus.pdf.jpg.json",,,,,,,,,,,,,,,,,56,"1/19/24",6670661,"4441832 SL",5269425,,,,,"2/18/24","Net 30",,,,,,,,,,"1315 Tyler St NE, Minneapolis MN 55413-1530",359819,"BAUHAUS BREW LABS",,,,,,,"PPA Origin",46,"Chris S.","HWTG",,,,,"1315 Tyler St NE, Minneapolis MN 55413-1530",359819,"ACCOUNTS PAYABLE BAUHAUS BREW LABS","$0.00","0%",,,,,2787.04,
"20240126 Hawkins - Bauhaus.pdf.jpg.json",,,,,,,,,,,"Chris S.",,"1/26/24",,"2/25/24",,,,,,,,"6675227",,,,,,"2381 Rosegate, Roseville, MN 55113",,,"Hawkins, Inc.","(612) 331-6910",,,"46",,,,"1315 Tyler St NE, Minneapolis MN 55413-1530",,"BAUHAUS BREW LABS",,,,,,,,,"PPA Origin",,"HWTG","1315 Tyler St NE, Minneapolis MN 55413-1530",359819,"BAUHAUS BREW LABS",,,"Net 30",,0,0,1289.5,
"20240205 ChemStation Bauhaus.pdf.jpg.json",,"{""street"":""1315 Tyler St NE, Minneapolis"",""city"":""Minneapolis"",""state"":""MN"",""postal_code"":""55413""}",,"Bauhaus Brew Labs",,,"P O Box 933033, Cleveland, OH 44193","ChemStation Minnesota LLC","(000) 000-0000 Ext. 0000",,,,"2/5/2024",,,,,,,,,,"40008069","2/5/2024",,,,,,,,,,,,"1107",,,,"1315 Tyler St NE, Minneapolis, MN 55413",,"BAUHAUS BREW LABS",,,,,,,,,,,,,,,,,"2% Amex",,40.73,,492.02,
"20240207 Hawkins - Bauhaus.pdf.jpg.json",,"1315 Tyler St NE, Minneapolis MN 55413-1530","Minneapolis","BAUHAUS BREW LABS","MN","55413-1530",,,,,"Chris S.",,"2/7/24",,"3/8/24","PPA Origin",,,,,,,"6685824",,,,,,"2381 Rosegate, Roseville, MN 55113",,,"Hawkins, Inc.","(612) 331-6910",,,"046",,,,"1315 Tyler St NE, Minneapolis MN 55413-1530","Minneapolis","BAUHAUS BREW LABS","MN","55413-1530","HWTG",,,,,,,,,,,,,,,,0,,1940.13,
"20240216 - Ace Chemical - Earth Rider - 20240219_Chemi^ll.pdf.jpg.json",,"PO Box 3167, Duluth, MN 55803",,"Earth Rider Brewery",,,,,,,"",,"02-16-24","02-16-24",,,,,,,,,"92382","",,,,,"8415 N 87th Street, Milwaukee, WI 53224-2409",,"(414) 357-5820","Ace Chemical Products, Inc.","(414) 357-8515",,,"11",,,,"1617 N. 3rd Street, Superior, WI 54880",,"Frank Kaszuba",,,,,,,,,,,"Central",,1248,,,,"NET 30 DAYS",1413.15,12.15,,2600.57,"www.acechem.com"
"20240224 - Madison Chemical - Bemidji.pdf.jpg.json",,,,,,,"3141 Clifty Drive, Madison IN  47250","Madison Chemical Co., Inc.","(812) 273-6000",,"PO-0217-BN",,"1/3/24","1/2/24","2/2/24",,,,,,,,"368026","12/29/23",,,,,,,,,,,,,"211 AMERICA AVE NW, BEMIDJI, MN  56601",,"BEMIDJI BREWING CO LLC",,,,,,,,,,"XPO",,,,,"211 AMERICA AVE NW, BEMIDJI, MN  56601",,"BEMIDJI BREWING CO LLC",,,"NET 30 DAYS",2834.95,,,3002.35,
"20240312 Hawkins - Bauhaus.pdf.jpg.json",,"1315 Tyler St NE, Minneapolis MN 55413-1530",,"Accounts Payable, Bauhaus Brew Labs",,,,,,"Credit.Dept@HawkinsInc.com","Chris S.",,"3/12/24",,"4/11/24",,,,,,,,"6707149",,,,,,"2381 Rosegate, Roseville, MN 55113",,,"Hawkins, Inc.","(612) 331-6910",,,"046",,,,"1315 Tyler St NE, Minneapolis MN 55413-1530",,"Bauhaus Brew Labs",,,,,,,,,"PPA Origin",,"HWTG",,,,,,,,0,,2388.25,
"20240327 Chemco - East Brother - IN-220686-2024-0327-14535662.pdf.jpg.json",,"1001 Canal Blvd","Richmond","East Brother Beer Co.","CA","94804",,,,,,"MYORDERS@CHEMCOPROD.COM","3/27/2024","3/26/2024","4/26/2024","DELIVERED",,,,,,,"220686","3/21/2024",,,,,"6401 Alondra Blvd.","Paramount","(562) 602-2811","Chemco Products Company","(562) 602-2116","CA","90723-3758","CN-41LP",,,,"1001 Canal Blvd","Richmond","East Brother Beer Co.","CA","94804",,,,,,,,,,,,,,,,1767.1,172.29,1767.1,1939.39,"WWW.CHEMCOPROD.COM"
"20240328 Chemco - East Brother IN-220779-2024-0328-153739197.pdf.jpg.json",,"1001 Canal Blvd, Richmond, CA 94804",,"East Brother Beer Co.",,,,,,,"","myorders@chemcoprod.com","3/28/2024",,"4/27/2024","Collect",,,,,,,"220779","3/21/2024",,,,"252715","6401 Alondra Blvd, Paramount, CA 90723-3758",,"(562) 602-2811","Chemco Products Company","(562) 602-2116",,,"CN-41LP",,,,"1001 Canal Blvd, Richmond, CA 94804",,"East Brother Beer Co.",,,"Will Call",,,,,,,,,,,,,,"Net 30",124.2,12.1,124.2,136.3,
"20240428 Oxxion - Ursa Minor Brewing.pdf.jpg.json","Make all checks payable to OXXION Consulting. THANK YOU FOR YOUR BUSINESS!","2415 W Superior St. - Suite B, Duluth, MN 55806-1933",,"Ursa Minor Brewing",,,,,,,"Verbal Per Amanda",,"April 28, 2024",,,,,,,,,,"5156-2024",,,,"Net 30 Days",,"11710 Riverview Road, Eden Prairie, MN. 55347-4911",,"952-942-9395","OXXION Consulting, Corporation","952-856-0507",,,"Rich O'Reskie",,,,"2415 W Superior St. - Suite B, Duluth, MN 55806-1933",,"Ursa Minor Brewing",,,,,,,,,,,,,,,,,,,,,6640,
"20240523 Clean Edge - Helltown - Invoice_INV_2024_03572-chemicals.pdf.jpg.json",,"5578 Old William Penn Hwy, Export PA 15632, United States",,"Helltown Brewing",,,"3121 Wilmarco Dr, Baltimore MD 21223, United States","CleanEDGE LLP","(443) 524-0864",,"",,"05/23/2024",,"06/22/2024",,,,,,,,"INV/2024/03572",,"1 of 1",,,,"5578 Old William Penn Hwy, Export PA 15632, United States",,,"Helltown Brewing",,,,,,,,"5578 Old William Penn Hwy, Export PA 15632, United States",,"Helltown Brewing",,,,,,,,,,,,,,,,,"NET30",,,,782,
"20240116 CMG - East Brother Malt.pdf.jpg.json",,"1001 Canal Blvd - #C-2, Richmond, CA 94804, USA",,"East Brother Beer Co",,,,,,"cmglogisticsteam@countrymalt.com","01122024",,"01/16/2024","01/15/2024","02/15/2024",,,,,,,,"USINV000159272","01/16/2024",,,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt",,,,,,,,,,,,,,,,,,,,,"Customer pickup/carrier",,,,,,"Net 30 days",,,,86,
"20240116(2) CMG - East Brother Malt.pdf.jpg.json",,,,,,,,,,,,,"01/16/2024",,"02/15/2024",,,,,,,,"USINV000159274",,,,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt","360-905-3380",,,,,,,"1001 Canal Blvd - #C 2, Richmond, CA 94804, USA",,"East Brother Beer Co",,,,,,,,,,,,,,,,,"Net 30 days",,,,478.25,
"20240125 CMG - East Brother Malt.pdf.jpg.json",,"1001 Canal Blvd - #C 2, Richmond, CA, 94804","Richmond","East Brother Beer Co","CA","94804",,,,,"USS100351076",,"01/25/2024","01/25/2024","02/24/2024",,,,,,,,"USINV000161372","01/25/2024",,,,,"PO Box 51602, Los Angeles, CA, 90051-5902",,,"Country Malt","360-905-3380",,,,,,,,"Richmond","East Brother Beer Co","CA",,,,,,,,,,"DEPENDABLE HIGHWAY EXPRESS",,,,,,"Net 30 days",,0,,7671.5,
"20240401 Country Malt Group - Helltown.pdf.jpg.json",,"5578 Old William Penn Hwy, Export, PA 15632, USA","Export","Helltown Brewing","PA","15632","Calgary, AB T2G 4M9, Canada","3316 Bonnybrook Rd. SE",,,"",,"04/01/2024",,"05/01/2024",,,,,,,,"CAINV000024999",,,"05/01/2024","Net 30 days",,,,,,,,,,,,,"5578 Old William Penn Hwy, Export, PA 15632, USA","Export","Helltown Brewing","PA","15632",,,,,,,"DAP-S-P",,,,,,,,,17201.77,0,0,17201.77,
"20240412 CMG - East Brother invoice USINV000181776.pdf.jpg.json",,"1001 Canal Blvd - #C 2","Richmond","East Brother Beer Co","CA","94804",,,,,"USS100390003",,"04/12/2024","04/12/2024","05/12/2024",,,,,,,,"USINV000181776","04/12/2024",,,,,"2488 Baumann Avenue","San Lorenzo","360-905-3366","Country Malt Group","360-905-3380","CA","94580",,,,,"1001 Canal Blvd - #C 2","Richmond","East Brother Beer Co","CA","94804","Customer pickup/carrier",,,,,,,,,,,,,,"Net 30 days",2046.65,0,,2046.65,
"20240425 CMG - East Brother invoice USINV000184452.pdf.jpg.json",,,,"East Brother Beer Co",,,,,,,"USS100396410","cmglogisticsteam@countrymalt.com","04/25/2024","04/24/2024","05/25/2024",,,,,,,,"USINV000184452","04/25/2024",,,,,"Country Malt, PO Box 51602, Los Angeles, CA 90051-5902",,,,"360-905-3380",,,,,,,,,"East Brother Beer Co",,,"ESTES EXPRESS LINES",,,,,,,,,,,,,,"Net 30 days",,,,6437.55,
"20240503 CMG - Hobbs invoice USINV000186126.pdf.jpg.json",,"2415 White Mountain Hwy, West Ossipee, NH 03890, USA",,"Hobbs Tavern & Brewing",,,,,,,"23126",,"05/03/2024","05/03/2024","06/02/2024",,,,,,,,"USINV000186126","05/03/2024",,,"Net 30 days",,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt",,,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,"ROSS EXPRESS",,,,,,,,,,,,,,"Net 30 days",2028.19,,,,
"20240509 CMG - Hobbs invoice USINV000187142.pdf.jpg.json",,"2415 White Mountain Hwy, West Ossipee, NH 03890, USA",,"Hobbs Tavern & Brewing",,,,,,,"23128","remittance@gwmalt.com","05/09/2024","05/09/2024","06/08/2024",,,,,,,,,"05/09/2024",,,"Net 30 days",,,,,"Country Malt",,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing","765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,"ROSS EXPRESS",,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",,,,2825.89,
"20240515 CMG - Hobbs invoice USINV000188330.pdf.jpg.json",,"2415 White Mountain Hwy, West Ossipee, NH 03890, USA",,"Hobbs Tavern & Brewing",,,,,,,"USS100404899",,"05/15/2024",,"06/14/2024",,,,,,,,"USINV000188330","05/15/2024",,"06/14/2024","Net 30 days",,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt Group","360-905-3366",,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,"ROSS EXPRESS",,,,,,,,,,,,,,"Net 30 days",2567.1,,,2912.3,
"20240521 CMG - Hobbs invoice USINV000189298.pdf.jpg.json",,,,,,,,,,,"23131",,"05/21/2024","05/21/2024","06/20/2024",,,,,,,,"USINV000189298","05/21/2024","1 of 2",,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt","360-905-3380",,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,,,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",,0,2493.45,2698.55,
"20240523 CMG - Hobbs invoice USINV000189844.pdf.jpg.json",,"2415 White Mountain Hwy, West Ossipee, NH 03890, USA",,"Hobbs Tavern & Brewing",,,,,,,"23133",,"05/23/2024","05/23/2024","06/22/2024",,,,,,,,"USINV000189844","05/23/2024",,,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt","360-905-3380",,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,,,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",,0,,2634.65,
"20240531 CMG - Hobbs invoice USINV000191459.pdf.jpg.json",,"{""street"":""2415 White Mountain Hwy"",""city"":""West Ossipee"",""state"":""NH"",""postal_code"":""03890"",""country"":""USA""}",,"Hobbs Tavern & Brewing",,,,,,,"23136",,"05/31/2024","05/31/2024","06/30/2024",,,,,,,,"USINV000191459","05/31/2024",,,,,"{""street"":""PO Box 51602"",""city"":""Los Angeles"",""state"":""CA"",""postal_code"":""90051-5902"",""country"":""USA""}",,,"Country Malt","360-905-3380",,,,,,,,"Ossipee","Hobbs Tavern & Brewing","NH",,,,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",3056.52,,,3261.62,
"20240611 CMG invoice USINV000193265 - Hobbs.pdf.jpg.json",,,,,,,"2415 White Mountain Hwy, West Ossipee, NH 03890, USA","Hobbs Tavern & Brewing",,"cmglogisticsteam@countrymalt.com",,,,,,,,,"USINV000193265",,,,,,,,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt","360-905-3380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913.5,
"20240613 CMG invoice USINV000193919 - Hobbs.pdf.jpg.json",,"2415 White Mountain Hwy","West Ossipee","Hobbs Tavern & Brewing","NH","03890",,,,,,,,,,,,"06/13/2024","USINV000193919",,,"3065.3",,,,,,,,,,,,,,,,,,"765 NH Rt 16","Ossipee","Hobbs Tavern & Brewing","NH","03864",,,,,"ROSS EXPRESS",,,,,,,,,,"Net 30 days",,,,3065.3,
"20240627 CMG invoice USINV000196566 - Hobbs.pdf.jpg.json",,,,,,,,,,,"23145",,"06/27/2024","06/27/2024","07/27/2024",,,,,,,,"USINV000196566","06/27/2024",,,,,"{""street"":""PO Box 51602"",""city"":""Los Angeles"",""state"":""CA"",""postal_code"":""90051-5902"",""country"":""USA""}",,,"Country Malt",,,,,,,,"765 NH Rt 16","Ossipee","Hobbs Tavern & Brewing","NH","03864","ROSS EXPRESS",,,,,,,,,,,,,,"Net 30 days",,,,3963.38,
"20240708 CMG invoice USINV000197975 - Hobbs.pdf.jpg.json",,"2415 White Mountain Hwy, West Ossipee, NH 03890, USA",,"Hobbs Tavern & Brewing",,,,,,,"23147",,"07/08/2024",,"08/07/2024",,,,,,,,"USINV000197975","07/08/2024","1 of 3",,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt",,,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,,,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",,,,,
"20240715 CMG invoice USINV000199247 - Hobbs.pdf.jpg.json",,,,,,,,,,,"23149",,"07/15/2024","07/15/2024","08/14/2024",,,,,,,,"USINV000199247","07/15/2024",,,,,"{""city"":""Los Angeles"",""state"":""CA"",""postal_code"":""90051-5902""}",,,"Country Malt","360-905-3380",,,,,,,"{""street"":""765 NH Rt 16"",""city"":""Ossipee"",""state"":""NH"",""postal_code"":""03864"",""country"":""USA""}",,"Hobbs Tavern & Brewing",,,"ROSS EXPRESS",,,,,,,,,,,,,,"Net 30 days",2354.25,0,,2354.25,
"20240718 CMG invoice USINV000200184 - Hobbs.pdf.jpg.json",,"{""street"":""2415 White Mountain Hwy"",""city"":""West Ossipee"",""state"":""NH"",""postal_code"":""03890"",""country"":""USA""}",,"Hobbs Tavern & Brewing",,,,,,,"23150",,"07/18/2024","07/18/2024","08/17/2024",,,,,,,,"USINV000200184","07/18/2024",,,,,"{""street"":""PO Box 51602"",""city"":""Los Angeles"",""state"":""CA"",""postal_code"":""90051-5902"",""country"":""USA""}",,,"Country Malt","360-905-3380",,,,,,,"765 NH Rt 16","Ossipee","Hobbs Tavern & Brewing","NH","03864",,,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",,,,2051.4,
"20240719 CMG invoice USINV000200266 - Hobbs.pdf.jpg.json",,"{""street"":""2415 White Mountain Hwy"",""city"":""West Ossipee"",""state"":""NH"",""postal_code"":""03890"",""country"":""USA""}",,"Hobbs Tavern & Brewing",,,,,,,"EMAIL MIKE 71824","cmglogisticsteam@countrymalt.com","07/19/2024","07/19/2024","08/18/2024",,,,,,,,"USINV000200266","07/19/2024",,,,,"{""street"":""PO Box 51602"",""city"":""Los Angeles"",""state"":""CA"",""postal_code"":""90051-5902""}",,,"Country Malt","360-905-3380",,,,,,,,"Ossipee","Hobbs Tavern & Brewing","NH",,,,,,,,,,"FedEx",,,,,,"Net 30 days",,,,321.13,
"20240729 CMG invoice USINV000201864 - Hobbs.pdf.jpg.json",,"2415 White Mountain Hwy","West Ossipee","Hobbs Tavern & Brewing","NH","03890",,,,,"23153","cmglogisticsteam@countrymalt.com","07/29/2024",,"08/28/2024",,,,,,,,"USINV000201864","07/29/2024",,,,,"{""street"":""2415 White Mountain Hwy"",""city"":""West Ossipee"",""state"":""NH"",""postal_code"":""03890"",""country"":""USA""}",,,"Hobbs Tavern & Brewing",,,,,,,,"765 NH Rt 16","Ossipee","Hobbs Tavern & Brewing","NH","03864",,,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",,,,1718.7,
"20240730 CMG invoice USINV000202125 - Hobbs.pdf.jpg.json",,"2415 White Mountain Hwy, West Ossipee, NH 03890, USA",,"Hobbs Tavern & Brewing",,,,,,,"23158",,"07/30/2024","07/30/2024","08/29/2024",,,,,,,,"USINV000202125","07/30/2024",,,,,"16 Beeman Way, Champlain, NY 12919, USA",,,"Country Malt Group",,,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,"ROSS EXPRESS",,,,,,"ROSS EXPRESS",,,,,,,,"Net 30 days",,,,2635.49,
"20240802 - CMG invoice USINV000202768 - Hobbs.pdf.jpg.json",,,,,,,,,,,"23161",,"08/02/2024",,"09/01/2024",,,,,,,,"USINV000202768","08/02/2024",,,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt",,,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,,,,,,,,,"ROSS EXPRESS",,,,,,,,0,,1900.77,
"20240814 - CMG invoice USINV000204880 - Hobbs.pdf.jpg.json",,"{""street"":""PO Box 51602"",""city"":""Los Angeles"",""state"":""CA"",""postal_code"":""90051-5902"",""country"":""USA""}",,"Country Malt",,,"{""street"":""2415 White Mountain Hwy"",""city"":""West Ossipee"",""state"":""NH"",""postalCode"":""03890"",""country"":""USA""}","Hobbs Tavern & Brewing",,"cmglogisticsteam@countrymalt.com","USS100438458",,"08/14/2024","08/14/2024","09/13/2024",,,,,,,,"USINV000204880","08/14/2024",,,,,"{""street"":""PO Box 51602"",""city"":""Los Angeles"",""state"":""CA"",""postal_code"":""90051-5902"",""country"":""USA""}",,,"Country Malt",,,,,,,,"{""street"":""765 NH Rt 16"",""city"":""Ossipee"",""state"":""NH"",""postal_code"":""03864"",""country"":""USA""}",,"Hobbs Tavern & Brewing",,,"ROSS EXPRESS",,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",3191.99,,,3397.09,
"20240823 - CMG invoice USINV000206422 - Hobbs.pdf.jpg.json",,,,,,,,,,,"23165",,"08/23/2024","08/23/2024","09/22/2024",,,,,,,,"USINV000206422","08/23/2024",,,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt","360-905-3380",,,,,,,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,,,,,,,,,"ROSS EXPRESS",,,,,,"Net 30 days",,,,2501.49,
"20240830 - CMG invoice USINV000207668 - Hobbs.pdf.jpg.json",,"765 NH Rt 16, Ossipee, NH 03864, USA",,"Hobbs Tavern & Brewing",,,,,,,"23167",,"08/30/2024","08/30/2024","09/29/2024",,,,,,,,"USINV000207668","08/30/2024",,,,,"PO Box 51602, Los Angeles, CA 90051-5902",,,"Country Malt","360-905-3380",,,,,,,,"Ossipee","Hobbs Tavern & Brewing","NH",,,,,,,,,,,,,,,,"Net 30 days",,,,,
"20240102 Carbonic Service - East Brother Co2.pdf.jpg.json",,"72 Valley Circle, Mill Valley, CA 94941, US",,"East Brother Beer",,,,,,,,,"1/2/2014",,"NET 30",,,,,,,,"555881",,,,,,"1920 De La Cruz Blvd, Santa Clara, CA 95050",,,"Carbonic Service Inc",,,,,,,,"1001 Canal Blvd #C2, Richmond, CA 94804, US",,"East Brother Beer",,,,,,,,,,,,,,,,,"18",,,,,"www.carbonicservice.com"
"20240108 Carbonic Service - East Brother - CO2.pdf.jpg.json",,"72 Valley Circle, Mill Valley, CA 94941, US",,"East Brother Beer",,,,,,,,,"1/8/2024",,,,,,,,,,"556226",,,,,,,,,,,,,,,,,"1001 Canal Blvd #C2, Richmond, CA 94804, US",,"East Brother Beer",,,,,,,,,,,,,,,,,"NEXT 30",,,,,
"20240205 Urban South - Air Products Invoice 0426758340.pdf.jpg.json",,"1645 TCHOUPITOULAS ST, NEW ORLEANS, LA 70130",,"LOUISIANA ROOTS LLC",,,,,,,,"COMPLNNA@airproducts.com","02/05/2024",,"03/06/2024","DAP DELIVERY POINT",,,,,,,"426758340",,"1 of 2",,,,"PO Box 71200, Charlotte, NC 28272-1200",,,"Air Products and Chemicals Inc.",,,,,,,,"1645 TCHOUPITOULAS ST, NEW ORLEANS, LA 70130",,"LOUISIANA ROOTS LLC",,,,,,,,"8095872996","DAP DELIVERY POINT",,"Not specified",,,,,,"Net 30 days date of invoice",1590,,,1770,"www.airproducts.com"
"20240312 American Wedling and Gas - Ore Dock Invoice 0009972308.pdf.jpg.json",,"21 Peltier Ave","South Lansing","American Welding & Gas, Inc.","MI","48906",,,,,,,"03/12/14",,,,,,,,,,"006769315-00",,,,,,,,,,,,,,,,,,"Marquette","Orr Corp Engine Company LLC","MI","49855",,,,"4500875303",,,,,,,321669,,,"1 EXEMPT/CERT INDUSTRIAL",,737.04,,,737.04,
"20240331 American Welding and Gas - Ore Dock Invoice 0010019069.pdf.jpg.json",,"PO BOX 798090","ST LOUIS","AMERICAN WELDING & GAS, INC.","MO","63179-8009",,,,,,,"03/31/24",,"04/20/24",,,,,,,,"03C1031459",,,,,,,,,,,,,"C212",,,,,"MARQUETTE","ORE DOCK BREWING COMPANY LLC","MI",,,,,,,,,,,,,,,,"20 Days",,0,,228.94,
"20240402 American Welding and Gas - Ore Dock Invoice 0010025709.pdf.jpg.json",,"24 KELMLE AVE, SOUTH BANKS MI 49353",,"AMERICAN WELDING & GAS, INC.",,,,,,,,,"06/22/22",,,,,,,,,,"N73486",,,,,,,,,,,,,,,,,"1 LALKEN SEREMIS STREET, MARQUETTE MI 49855",,"VERSO DEPOS DEPTUS COMPANY LLC",,,,,,,,,,,,,,,,,,,,,760.74,
